generateur(GEN1,70).
generateur(GEN3,40).
generateur(GEN2,35).
generateur(GEN5,42).
generateur(GEN4,62).
generateur(GEN7,15).
generateur(GEN6,83).
generateur(GEN9,50).
generateur(GEN8,50).
maison(MAISON1,NORMAL).
maison(MAISON2,BASSE).
maison(MAISON3,NORMAL).
maison(MAISON4,FORTE).
maison(MAISON5,FORTE).
maison(MAISON6,NORMAL).
maison(MAISON7,NORMAL).
maison(MAISON8,FORTE).
maison(MAISON9,BASSE).
maison(MAISON10,NORMAL).
maison(MAISON11,BASSE).
maison(MAISON12,NORMAL).
maison(MAISON13,FORTE).
maison(MAISON14,FORTE).
maison(MAISON15,NORMAL).
maison(MAISON16,NORMAL).
maison(MAISON17,FORTE).
maison(MAISON18,BASSE).
connexion(GEN1,MAISON1).
connexion(GEN1,MAISON10).
connexion(GEN3,MAISON3).
connexion(GEN3,MAISON6).
connexion(GEN3,MAISON9).
connexion(GEN3,MAISON12).
connexion(GEN3,MAISON15).
connexion(GEN3,MAISON18).
connexion(GEN2,MAISON2).
connexion(GEN2,MAISON5).
connexion(GEN2,MAISON8).
connexion(GEN2,MAISON11).
connexion(GEN2,MAISON14).
connexion(GEN2,MAISON17).
connexion(GEN4,MAISON4).
connexion(GEN4,MAISON7).
connexion(GEN4,MAISON13).
connexion(GEN4,MAISON16).
